ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-04-06 05:11:00-04:00,6801499,HRzDJVgzQH4oxmwfXw163NmQkZBFbFVK4w8HZVr9gUi5,6zMmKu29zPxzPeZLXBMV8CTdvkeqW1PECyHmPBsYH1QF,PositionDirection.Short(),10041642619,115513,1150339688345,1150339680044,115,0,0,0,False,3,1151178380000
2022-04-06 05:11:00-04:00,6801500,4dCEq3Vf5peA8GbsfUwXozozqDqMEpcLgs9YRNtwpoY4,5igTNp6T23mNWTHSi4Rp9pzm5NfZ31TuFa4XMSnrQEy7,PositionDirection.Short(),512000000000000,4588662259,896399411954,896046817969,4588662,0,0,0,False,4,894978860000
2022-04-06 05:11:00-04:00,6801501,HRzDJVgzQH4oxmwfXw163NmQkZBFbFVK4w8HZVr9gUi5,6zMmKu29zPxzPeZLXBMV8CTdvkeqW1PECyHmPBsYH1QF,PositionDirection.Short(),53462469,615,1150339680044,1150339680000,0,0,0,0,False,3,1151119520000
2022-04-06 05:11:01-04:00,6801502,4dCEq3Vf5peA8GbsfUwXozozqDqMEpcLgs9YRNtwpoY4,5igTNp6T23mNWTHSi4Rp9pzm5NfZ31TuFa4XMSnrQEy7,PositionDirection.Short(),103000000000000,922891704,896046817969,895975911112,922891,0,0,0,False,4,895005890000
2022-04-06 05:11:04-04:00,6801503,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Long(),88925818319981,104000000,116945162676,116957661302,104000,0,0,0,False,14,117057000000
2022-04-06 05:11:17-04:00,6801504,EepiqRr24hEEGbeJJitUMTtAxA3kmAwFGMBUiVjxkk9V,D1T7Nt5gqN1g6HwtJtHbr1kVyLXqLhCSQdiS3zPBQkFP,PositionDirection.Short(),8600000000000,98928906,1150339680000,1150332570407,98928,0,0,0,False,3,1151490920000
2022-04-06 05:11:23-04:00,6801505,HSH3LftAhgNEQmpNRuE1ghnbqVHsxt8edvid1zdLxH5C,8tybPKPVAEkRbUcytVhpxgQmPxu6ruUsfACGNyj2w2MP,PositionDirection.Short(),146713959478740,315663759,215163601349,215148224904,315663,0,0,0,False,8,215029597000
2022-04-06 05:11:25-04:00,6801506,DLVDxzLX7u7tj6Z2CXCx72KL273jQQMQCocWyFgRCTHb,9K6nAryvFBza9hMVVqG7wz2DBFGnxySdpMzeEFPu5QpP,PositionDirection.Short(),8641038934790736,139179400,1610784622,1610573396,139179,0,0,0,False,15,1608741300
2022-04-06 05:11:26-04:00,6801507,9PXbLdyXKuU831N9rFCDHNbmv6cMJiSjFdbZcaoX4rRt,7NhqHa3odHgW67kTGbKwdqKkS9fZ3hm7XhfXWYqfYyq4,PositionDirection.Short(),3136882401704882,492018000,15685593545,15684278666,492018,0,0,0,False,6,15652534600
2022-04-06 05:11:29-04:00,6801508,DLVDxzLX7u7tj6Z2CXCx72KL273jQQMQCocWyFgRCTHb,9K6nAryvFBza9hMVVqG7wz2DBFGnxySdpMzeEFPu5QpP,PositionDirection.Short(),8257322052066239,132981900,1610573396,1610371588,132981,0,0,0,False,15,1608496400
2022-04-06 05:11:37-04:00,6801509,DLVDxzLX7u7tj6Z2CXCx72KL273jQQMQCocWyFgRCTHb,9K6nAryvFBza9hMVVqG7wz2DBFGnxySdpMzeEFPu5QpP,PositionDirection.Short(),6609868113572481,106438100,1610371588,1610210072,106438,0,0,0,False,15,1608280100
2022-04-06 05:11:43-04:00,6801510,GNXbt1hXLQM43YSNujBVc7eJ2sVHsWwx2KHFYyadzQzC,8T7ZcyKUXGRbHniZL1F8CUCVQL9HqTBmFQjKTznkaAmC,PositionDirection.Short(),100002254708320,290456000,290456305750,290442596834,290456,0,0,0,False,7,290296010000
