ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-31 19:44:07-04:00,410666,AcVUEdVMnQpSSV7sgCpiCHn18dCwLnqLVZhB4fr16fwJ,AsfCh8vSbhH1xuwoxcppmp3DwKb2rjw9Cbo8upfh8juT,3,36889510855,84400000000000,-379715492741910,1648764050,-379759200693160,-438756419484738
2022-03-31 19:44:22-04:00,410667,25SzpmgqcqrgyBadq4LvQhaCZrFDFWS8RB4xYpCJmJA3,FPssTExF3VB1NJLB1RSvAhtR2J3PwfYHPMv48474BCRp,0,1922907334,-7900000000000,499381711776611,1648764044,1570835762272003,499406052375777
2022-03-31 19:44:40-04:00,410668,8dRpshxfmbci4onUpjQvMms7dbHSRuixqevpA7iv2BjR,5jhzcA4Sp9623WV2ZusHbZqFdiuSp7QvAUAHCAtSvY1j,0,1922907334,-7900000000000,499381711776611,1648764044,1570835762272003,499406052375777
2022-03-31 19:44:47-04:00,410669,AYNWwimfbGDLyGLbuGEJ2MdACaaNYTKwwj5LKhzw8Kgi,CG9rB5rouXa6VV1PQ4BG2zhrj7U1vVQSTaRoWtweAtu9,3,480787463,1100000000000,-379715492741910,1648764050,-379759200693160,-438756419484738
2022-03-31 19:44:47-04:00,410670,AYNWwimfbGDLyGLbuGEJ2MdACaaNYTKwwj5LKhzw8Kgi,CG9rB5rouXa6VV1PQ4BG2zhrj7U1vVQSTaRoWtweAtu9,0,1947247933,-8000000000000,499381711776611,1648764044,1570835762272003,499406052375777
2022-03-31 19:44:58-04:00,410671,DrifTBDEyRjE8LTpSnyPEwb6NwvRUUXBr5KvcuBtqzzr,2QHE6HizrcupQbpgB7Da98igTD3VUQirvrW3qFo81E1n,11,-812375441440,1013019019841372,94985536909107,0,95065730412440,95065730412440
2022-03-31 19:44:58-04:00,410672,DrifTBDEyRjE8LTpSnyPEwb6NwvRUUXBr5KvcuBtqzzr,2QHE6HizrcupQbpgB7Da98igTD3VUQirvrW3qFo81E1n,10,-1775,40994846,2670394468173,1648756801,2674724400255,2674724400255
2022-03-31 19:44:58-04:00,410673,F1qShBstNvSQuLxWgYm5nStrCxGerv9oTdhVh6vx2gFm,8kzHn2hj5j8sa9y99hGJwt2aWyv28ZNTs9RZWX4MnPt3,10,-3897514004186,21778924296524565,2656828594424,0,2674724400255,2674724400255
2022-03-31 19:45:02-04:00,410674,3UunurRNn4m3nmqvaPAXAX5cT9ZcghSVQi4NSgz9u22d,EbuikjKpFvqrJKfwYNihsWHpB3SSVa34egh5vX9CpqQ,6,-3225436516373,12311009458385754,14054733731358,0,14080933341774,11865727097012
2022-03-31 19:45:03-04:00,410675,8H1aP5KjGqsySSZ5EZefnypLEfeMRdUS2kk72qc5GFrZ,DkWwdGpLA7rrD2gHNDn5GooFi35Dmq2hw5WP1pYGpW4z,1,1871213246055,-1600077380497,487023011441333275,1648753215,1038796917794344300,487139956613414523
2022-03-31 19:45:06-04:00,410676,7VoWh53qjN56z6aatMVWgfVUcJxm31YWht4TFe9KBmH7,6GXMNgBYmZMvhwTdtU3CG1puRDQPQtvKKSisVG4Ey2Y8,4,100153300117,193543822626735,262322558687830,1648753200,262270811595746,95663380933989
2022-03-31 19:45:06-04:00,410677,7VoWh53qjN56z6aatMVWgfVUcJxm31YWht4TFe9KBmH7,6GXMNgBYmZMvhwTdtU3CG1puRDQPQtvKKSisVG4Ey2Y8,1,-38542529969410,32957777806024,1038679972622263052,1648753215,1038796917794344300,487139956613414523
2022-03-31 19:45:07-04:00,410678,H24HLkWuPEPanDVRS2qLr5A5KbJDK3N7se8CkcW8wuPX,AVBVj1EvgK2k1YB5ghTP8MVjGCPTcurWndP3TxEZm3RG,0,83756001730,-344100000000000,499381711776611,1648764044,1570835762272003,499406052375777
