,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
72,GKhiMaAWFaUyUAyWyzStHAWqcEfN1EPgVJ9rJ1cyktL,F9HRMjUNMmiSdUYrXrV1eUGHpm5x1fFc7Ef5JXdThUub,0.0,0.0,0.5,-0.0031271829927,-4.89306684596053,159.8883087965062
73,mQY2X9KYVXf9JmGY8XwMK4G8odM4HmWkgEmYYqKnkvF,8MGEQ1KEMv9WSgVifjN7CQ7tDbJBJbWgGYu71dTDKEPQ,,,,,,
74,6VBoggtTexZ8dpTRtQSHjWSA2dKUXVkiQF5WBUqzD9Cf,4brj3rwjm6v2A4LvwZwLy2KPXgqsSZufZeL7u5nBTts5,,,,,,
75,8wgnxYFHBWGtRwcFXSdXTH78o69x8fanPrYrN1wMTUJq,HjD5g6bNDpuDkBL6PBywK4tjwTX7TKrcVrYaoc4amy8v,,,,,,
76,D7eJC2Fj454ppFPkFXxWoFkHSDE7r2gZ31FhpokK4f4B,A2EDHnbegPF9zU5QVPVM2DZMYqJRE83UWnrUH7etf82c,,,,,,
77,CqHfCCvp4Hd1bAkHP3ETt5oK4hdQ93wJe777i5MpHKEq,5hTmrUY8TqXooj29sWT7sJe1DxTTakBCRMCg1e2PPX7X,,,,,,
78,H9CsTUBoWX3PKngeSbcrTKuRsTmdw5pdU33zaVpLP2rQ,2STfHJPKXiDqbN48ybJTHQJsmt7FfqGX4CsrbmBmarPU,,,,,,
79,DJjfigomYewGQEfQaRvkxda2sy3PQXdUmcx7wUXCfTGQ,psYwVtniCAnPiNuEiWjAKApvuEZoqhVwh7dJ6emvuLC,,,,,,
80,AuoSbQLoCmqkm6EZ8Zx2iXQSUo6KNV4ne37iLfhZVthb,AT4Ucp2aTJUx3Q2GwmNoZd7DKvyBEPzEREHZVYvRofjC,,,,,,
81,F3QLWJEVURXmFAED7mKJPjAssB91xh3ERYa6qg4966n,Bxq63bx1Lo8Pn1eUSiUNHCHbobgTyV7QCmWgsirSjb76,,,,,,
82,4amQXSREHJrZhyQckoKrcjN1ERsoxABf3DXA3tG8Kznh,68shHaT6ygMPydKb7QHc5kRbLCnsQi7q9JUefssi3T7c,0.0,8.0,0.04,-0.0023408209609,0.49844400124314,17.088021966712386
83,4amQXSREHJrZhyQckoKrcjN1ERsoxABf3DXA3tG8Kznh,68shHaT6ygMPydKb7QHc5kRbLCnsQi7q9JUefssi3T7c,1.0,0.0,7.33,-0.0833912300079,3.00667499039313,87.89893133013626
84,4amQXSREHJrZhyQckoKrcjN1ERsoxABf3DXA3tG8Kznh,68shHaT6ygMPydKb7QHc5kRbLCnsQi7q9JUefssi3T7c,2.0,9.0,1.0,0.9017093958005,-2.290373751e-05,1.1090047466038009
85,4amQXSREHJrZhyQckoKrcjN1ERsoxABf3DXA3tG8Kznh,68shHaT6ygMPydKb7QHc5kRbLCnsQi7q9JUefssi3T7c,3.0,7.0,0.69,0.0225531493158,1.8460278675323,30.594396832934038
86,4amQXSREHJrZhyQckoKrcjN1ERsoxABf3DXA3tG8Kznh,68shHaT6ygMPydKb7QHc5kRbLCnsQi7q9JUefssi3T7c,4.0,3.0,0.18,-0.0035194365568,-0.89837790213289,51.144550298034794
87,FzB2gBseZPqtQZyePSrxTngnTkczRLaquvPKs5iwzLPD,JBz9ofrFqLRMamBnG5ZeYHg4FciSr6RWuLdhc8SDLWtv,,,,,,
88,1EFsPVUVUZBvquX2hzChEctSrNk96Z5JEefatYpJcpq,6LcojSYXVc4CEBhEVem458FeonVStMfsEoDqo9uKxHWw,,,,,,
89,GHt7iJACLPSN4BQVstPuZaSwajZrRfA1paoQkykHdPg7,DXrZWoupHdVpvqcJJjJpcF35AYMG3vgcM8ACj5H3LUpb,0.0,0.0,10.0,0.0487886716672,-2.89565510494974,204.96561308765598
90,9AWFyKr4v12PG4QRQHG4KWWNnG33kUzKgA7Y7fQZFPcK,BFypz2wBmMPAdrAAcdrdh3GaMaPtdkqKhxV9z9no5vso,,,,,,
91,Fjkyp5YT7NKF2A9wrFtT9yjgLZMXeDXUXX8a8qY4np5R,D5ypqyi9bBmPihzqyk3FTXjHzGEa4SVFX3bnDyLQ9ERb,,,,,,
92,GK6tPnXgDfVUK6yTp41g8sjSfGXgUL19A3dn5coRj2Cf,5V2PPtpkertwA6u43eq3AYXJdPZWguxF3FtjfheivoXA,1.0,0.0,35.81,0.3199724627424,13.71540165564292,111.91588080137238
93,7Bcx4SSTaadFwEwMG4p2Kt9eeMpRQJvwG2HdeAd3Afxx,5DBCLjtYTqDtvTt4i8oS7jXZcxffuKGdW6QJoerb2LX7,,,,,,
94,AkY3zskecSxkbpsHdunDvv2PzCVcyKrZSmNV3u4vXbgH,8NHJrGJ5VQuzHDf7HPJRmAteXz3agJyyYuP3UkA9stV3,,,,,,
95,DLk3eQLpA1ty1oTVSSVbGQ9jjXbmYk6fAKmn9jMAJqVX,EGxiKAqWFv7dtED4tpoo8rvucBwevPNz5yJkdLNqe3gU,,,,,,
96,3tTQ1qXUH2txmr3oXLgP8NK3ViGhiLn4YAKk3Y9A1QMr,CYQAAy7nBv38QqJshR9h6VAPC9VGGhsetAJCqexth1uH,,,,,,
97,HTXkDAS1EJZtXLTw4Jvpe2hTU9gV1zYNitj5ZeHbzc9T,AhP1DaCBzoJ4hwCURcQiK2SXQaQsvpM6Uj9LbU4ZaoVk,,,,,,
98,6VB3ADbbC9fT5pWmw7P5swDF5176iiPfk8UXU9R3Yq1n,8wW5nPRa8Y1Z7cFLMZbDgTe6iXgxs3MJVag83cikmYyT,0.0,0.0,16.4,0.1616509893314,14.07872715656326,101.45313720523187
99,6VB3ADbbC9fT5pWmw7P5swDF5176iiPfk8UXU9R3Yq1n,8wW5nPRa8Y1Z7cFLMZbDgTe6iXgxs3MJVag83cikmYyT,1.0,1.0,16.4,0.0003785289837,9118.867616473186,43325.61232087232
100,6VB3ADbbC9fT5pWmw7P5swDF5176iiPfk8UXU9R3Yq1n,8wW5nPRa8Y1Z7cFLMZbDgTe6iXgxs3MJVag83cikmYyT,2.0,2.0,18.8,0.006207240706,418.1080521316457,3028.720955162521
101,FMpNVhnL8HEh1dhjFLH162G6LkL4k9jBbnUByPpp7eUK,CQ1wqH12ZgBGThZXWMCBnjgMxCV8QKttZffjrwvHm6fG,,,,,,
102,C2gnKmUZrWz3xQhR8cPqARojkVekN28ZteMMwHcEoRTa,41u2tENu19d3HEZPKjuVm2gQwRVcBRkDJvyrU7C15FjN,,,,,,
103,2Z7cuCJHqLPHu7MnNPNbizpaSzRwBZKj4DWxSoqAsL66,FfLzRRjWqqBpyRaDA8T5NodiEN4eYbt262okuFc4tkFd,,,,,,
104,CCiFpqHbGoCdE3N5azr3XA1b1UnpYuQ4MA64RozSyFf4,9K6VGoBzTmn6VwcedSYKuA2uH9C5W6Vg5JNCX53cBPpD,,,,,,
105,F2hFTdLkCpjDb7HQuX7ELxWAsQ1LdH6oF46gjDrZzjFi,FPktTEYHaZPj1G9vHpoCftUYiR3GL4YgUFiyHyoWR4yX,,,,,,
