,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
6778,3pLXU9sRs9PeLjtqRH3FJoFZxvzKQqsFTjHm5rzNxDz6,0.002,-11314.45,1317.892,11314.452,inf
4941,2dsEkAXA6M1MTCGyrFVrZdVkE8ooX5NXhFXeAk3C3gHt,93428.748,103507.0,1299.991,-10078.252,-0.097
11314,5zrQSV4G6oBAdEkPxEcFDeoqUUD5kzYfT87p5VvsbG3Q,0.006,-39482.62,1296.689,39482.626,inf
7051,HwMdPKabtCSiMZPhXGZjxMKg7RVwxfHSJGt6FW6XKKN5,0.0,11586.49,1285.904,-11586.49,-1.0
349,9WQ5qMZADbD9scsUYJPmbXr8vFjqbpUW5MJj8FoRQAJH,1166.073,-448.652,1274.365,1614.725,inf
6482,4X9dwNiuc2AQB5CXLHmzuc53RNZVAgG9rYDMSJvjTZki,0.007,19566.53,1245.166,-19566.523,-1.0
10670,2q6ZezY218nwaTpZhrUVqP31ffW3oxcgLd6LnV83tSkc,0.01,4464.5,1237.313,-4464.49,-1.0
7963,5TQtXo8WYPa3m23ncC7hXQxE35c7Jt4ZXnVp1fr2Aw7A,8394.954,7750.0,1231.322,644.954,0.083
7677,9LVUwUZAj1tVfFbxqyjfS73xNQbr9ACCt5Sf8sbzHzYR,90341.472,130238.0,1230.253,-39896.528,-0.306
3756,8xrvPpZVuDqeWvpkbBjww2ekak2CJzKSJhdq2mqBcUD5,0.008,22844.01,1221.016,-22844.002,-1.0
11607,2ZQqMo1z3GbBexSTVDVFZAHZ34JUkrZQbDdPUGFhRyMA,14198.783,-7267.72,1185.685,21466.503,inf
3308,EcrRsDA9VHZ5xGL96xbwuWjMKuucQh2vwNtw9xsj3Xh8,0.007,483.51,1179.726,-483.503,-1.0
1469,19e6L1YhCDTtbp5mZFpMm1qY95aSNbtEi3S2BE5r83n,11014.673,8107.0,1171.445,2907.673,0.359
5970,6KGKhfpWXmDyPbXsBbisR5XyebepKXaK9DQuxu3zHVY,74260.27,45153.0,1156.086,29107.27,0.645
664,GkH6xvDftTRWrQPNuieBXJYdTPZTtJ1g1NyzSvkt2wek,628.043,-600.0,1121.662,1228.043,inf
10605,DmrkajG3SrTXnYSYxGRfkzfvhkevD6RdtFk4SdLC2G6Q,1294.337,51176.0,1106.318,-49881.663,-0.975
2811,HRiw9DATgaa4UF5hknz7zYhUn4z5zZU6P5SEe9JAkULm,0.006,14931.38,1094.583,-14931.374,-1.0
11832,4j93cJHt4Atvx6bWaUMZpeMxhrSoprvQ532tBB9aZ5zy,19444.961,53008.0,1090.521,-33563.039,-0.633
13050,EkkfHmk8ZJ8VXo9DK7JYfw9ce5CmAnYfGAHxqR2Ci1kQ,1154.863,-7.072,1087.559,1161.935,inf
3661,CUpCJFePUgDX4r8C5Qa1PcqCyUiBL2SJaAnsSozT5X3T,1351.72,-1615.158,1085.63,2966.878,inf
11536,HZes47J4gi33MV8tQf91jCpVCHJTTvh7TAHCb3ivrbmS,0.001,-22327.22,1071.949,22327.221,inf
537,554757wkqFvyAjk4eFqQL9edfboxyQU7awvz12CmTGaG,0.01,-51841.36,1061.53,51841.37,inf
2233,4h9D9KPuEwMV7mQX74rmAWAfJ2FBemX37mstMP6EWVMq,586.081,-1871.159,1038.558,2457.24,inf
248,J2gTwrYpzezkRupgBtgudQn5D33x6WjeBhTHnrA1qgqa,0.006,57627.57,1038.395,-57627.564,-1.0
4153,BkkSRRX7zEGSy5YqJ8sTZwBhaAMLjbj2NzWmUKtmbPZu,1158.618,-748.472,1001.697,1907.09,inf
3410,EcjCYJWTXn3LfpgJ9EbdVYQyR35QfWdBjsMdX8V9gBn6,0.007,4415.78,995.004,-4415.773,-1.0
6160,6Rk6wVu6pCDFwEWDbiY8wS93nDghyHP9kzdUEa6eFRRq,104.461,690.0,990.467,-585.539,-0.849
6820,876wa5PBZp4MSVvrDkaV9ypDbhU6WMQrQtj1Vw3x82LK,2141.679,14786.73,990.078,-12645.051,-0.855
811,GHbEfVi6KAZFvrdfdnXCnGhoS4P3srKmUFsvV6HX38AD,76234.008,99525.25,989.558,-23291.242,-0.234
7031,4bfSRCQiB2AYsFxiBJTkhPbE61QDPRcwxvvrMssZdZJh,90336.519,46073.0,985.773,44263.519,0.961
